route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11821953316814874,6192453782601729,10,Ligne 10,Ligne Ligne 10,3,,ba8fba,FFFFFF
11821953316814875,6192453782601729,12,Ligne 12,Ligne Ligne 12,3,,b043bb,FFFFFF
11821953316814876,6192453782601729,13,Ligne 13,Ligne Ligne 13,3,,929ac6,FFFFFF
11821953316814877,6192453782601729,20,Ligne 20,Ligne Ligne 20,3,,5eb83e,FFFFFF
11821953316814878,6192453782601729,21,Ligne 21,Ligne Ligne 21,3,,d9e86a,FFFFFF
11821953316814879,6192453782601729,22,Ligne 22,Ligne Ligne 22,3,,8b8f22,FFFFFF
11821953316814880,6192453782601729,26,Ligne 26,Ligne Ligne 26,3,,94afa2,FFFFFF
11821953316814881,6192453782601729,27,Ligne 27,Ligne Ligne 27,3,,36916d,FFFFFF
11821953316814882,6192453782601729,3,Ligne 3,Ligne Ligne 3,3,,f0842e,FFFFFF
11821953316814883,6192453782601729,31,Ligne 31,Ligne Ligne 31,3,,8f86b5,FFFFFF
11821953316814884,6192453782601729,32,Ligne 32,Ligne Ligne 32,3,,00a69e,FFFFFF
11821953316814885,6192453782601729,34,Ligne 34,Ligne Ligne 34,3,,3ab7c2,FFFFFF
11821953316814886,6192453782601729,35,Ligne 35,Ligne Ligne 35,3,,488e8e,FFFFFF
11821953316814887,6192453782601729,36,Ligne 36,Ligne Ligne 36,3,,59bebe,FFFFFF
11821953316814888,6192453782601729,4,Ligne 4,Ligne Ligne 4,3,,e70f7a,FFFFFF
11821953316814889,6192453782601729,5,Ligne 5,Ligne Ligne 5,3,,855a26,FFFFFF
11821953316814891,6192453782601729,7,Ligne 7,Ligne Ligne 7,3,,b2d4ee,FFFFFF
11821953316814892,6192453782601729,8,Ligne 8,Ligne Ligne 8,3,,fad43d,FFFFFF
11821953316814893,6192453782601729,9,Ligne 9,Ligne Ligne 9,3,,b0731e,FFFFFF
11821953316814895,6192453782601729,A,Tram A,Ligne Ligne A,3,,b32727,FFFFFF
11821953316814897,6192453782601729,B,Ligne B,Ligne Ligne B,3,,00b8de,FFFFFF
11821953316814907,6192453782601729,NDD,Panoramique des Domes,Ligne N40-Ligne 40,3,,e70f7a,FFFFFF
11821953316814913,6192453782601729,24,Ligne 24,Ligne Ligne 24,3,,d2ed73,FFFFFF
11821953316814914,6192453782601729,33,Ligne 33,Ligne Ligne 33,3,,3ab7c2,FFFFFF
11821953316814915,6192453782601729,C,Ligne C,Ligne Ligne C,3,,f58db5,FFFFFF
11822086460801025,6192453782601729,25,Ligne 25,Ligne Ligne 25,3,,00a300,FFFFFF
11822086460801028,6192453782601729,23,Ligne 23,Ligne Ligne 23,3,,5eb83e,FFFFFF
11822086460801030,6192453782601729,28,Ligne 28,Ligne Ligne 28,3,,94afa2,FFFFFF
11822086460801031,6192453782601729,BEN,Ligne BEN,Ligne N50-Navette BEN,3,,b043bb,FFFFFF
11822086460801032,6192453782601729,37,Ligne 37,Ligne Ligne 37,3,,929ac6,FFFFFF
11822086460801035,6192453782601729,41,Navette Montjuzet,Ligne N41-Navette Montjuzet,3,,36916d,FFFFFF
11822086460801060,6192453782601729,42,Navette du prat,Ligne N42-Navette Le Prat,3,,f0842e,FFFFFF
11822086460801061,6192453782601729,43,Navette Vulcania,Ligne N43-Navette Vulcania,3,,000000,FFFFFF
