trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503749951309949,11,11821953316814895,Les Vergnes,0,4503749951309949
4503749951317232,1,11821953316814885,COURNON Toulaits,0,4503749951317232
4503749951317240,1,11821953316814885,COURNON Toulaits,0,4503749951317232
4503749951317244,13,11821953316814885,COURNON Toulaits,0,4503749951317232
4503749951317238,1,11821953316814885,COURNON Toulaits,0,4503749951317232
4503749951317230,13,11821953316814885,COURNON Toulaits,0,4503749951317232
4503749951317260,13,11821953316814887,Delille via Lempdes,1,4503749951317260
4503749951317275,13,11821953316814887,Delille via Lempdes,1,4503749951317260
4503749951317217,13,11821953316814884,ARGNAT Le Mas,1,4503749951317217
4503749951317209,13,11821953316814884,ARGNAT Le Mas,1,4503749951317217
4503749951317211,13,11821953316814884,ARGNAT Le Mas,1,4503749951317217
4503749951317206,13,11821953316814884,ARGNAT Le Mas,1,4503749951317217
4503749951317220,13,11821953316814884,SAYAT Bel Air,1,4503749951317220
4503749951317216,13,11821953316814884,SAYAT Bel Air,1,4503749951317220
4503749951312344,11,11821953316814915,Tamaris,1,4503749951312344
4503737118705493,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705494,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705495,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705496,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503749951318788,1,11821953316814882,AUBIERE Pl. des Ramacles,1,4503749951318788
4503737118705497,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705500,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705501,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705502,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705503,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705506,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705507,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705508,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705509,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705510,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705511,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705512,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705513,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705516,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705517,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705518,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705519,28,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705520,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705521,28,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705522,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705523,28,11821953316814897,Stade M. Michelin,0,4503737118705493
4503749951318574,1,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705526,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705527,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705528,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705529,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705530,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705531,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705532,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705533,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705536,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705537,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705538,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705539,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705542,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705543,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705544,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705545,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705551,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705552,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705553,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705554,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705555,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705556,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705557,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705558,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705561,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705562,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705563,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705564,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705565,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705566,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705569,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503749951317214,13,11821953316814884,ARGNAT Le Mas,1,4503749951317217
4503737118705570,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705571,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705574,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705575,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705578,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705579,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705580,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705581,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705582,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705583,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705586,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705587,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705588,11,11821953316814897,ROYAT Pl. Allard,1,4503737118705494
4503737118705589,11,11821953316814897,Stade M. Michelin,0,4503737118705493
4503737118705592,11,11821953316814882,AUBIERE Pl. des Ramacles,1,4503737118705592
4503737118705593,11,11821953316814882,Les Vignes,0,4503737118705593
4503749951318476,1,11821953316814879,COURNON Pasteur,0,4503749951318476
4503737118705596,11,11821953316814882,ROMAGNAT La Gazelle,1,4503737118705596
